City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
519,Teeli,RU,51.0333,90.2333,50.5,89,64,1.86,broken clouds,2021-08-07 20:21:00
520,Paamiut,GL,61.994,-49.6678,41.81,94,100,9.19,moderate rain,2021-08-07 20:21:00
521,Mogadishu,SO,2.0371,45.3438,76.33,84,65,21.88,broken clouds,2021-08-07 20:21:01
522,Elliot,ZA,-31.3333,27.85,48.54,23,6,7.54,clear sky,2021-08-07 20:21:01
523,Richards Bay,ZA,-28.783,32.0377,61.23,83,0,4.16,clear sky,2021-08-07 20:21:01
524,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,16.11,scattered clouds,2021-08-07 20:19:10
525,Shahrud,IR,36.4182,54.9763,79.07,17,0,3.44,clear sky,2021-08-07 20:21:02
526,Bandar-E Anzali,IR,37.4727,49.4622,81.27,75,12,1.66,few clouds,2021-08-07 20:21:02
527,Kuruman,ZA,-27.4524,23.4325,47.98,25,0,1.7,clear sky,2021-08-07 20:21:03
528,Altay,CN,47.8667,88.1167,59.67,52,6,4.81,clear sky,2021-08-07 20:21:03
529,Calbuco,CL,-41.768,-73.1273,49.21,68,94,2.73,overcast clouds,2021-08-07 20:21:04
530,Whitecourt,CA,54.1502,-115.6855,67.24,52,75,3.44,broken clouds,2021-08-07 20:21:05
531,Bambanglipuro,ID,-7.95,110.2833,75.4,88,68,2.8,broken clouds,2021-08-07 20:21:05
532,Forio,IT,40.7342,13.8646,80.46,80,0,1.01,clear sky,2021-08-07 20:21:06
533,Ekibastuz,KZ,51.6667,75.3667,74.35,49,100,7.16,overcast clouds,2021-08-07 20:21:06
534,Benguela,AO,-12.5763,13.4055,71.98,84,39,1.81,scattered clouds,2021-08-07 20:21:06
535,San Jose De Sisa,PE,-6.6167,-76.6915,91.92,39,37,3.13,scattered clouds,2021-08-07 20:21:07
536,Opunake,NZ,-39.4556,173.8583,48.61,73,100,18.14,overcast clouds,2021-08-07 20:21:08
537,Boca Do Acre,BR,-8.7522,-67.3978,99.77,20,2,2.13,clear sky,2021-08-07 20:21:08
538,Pecos,US,31.4229,-103.4932,99.43,23,1,8.05,clear sky,2021-08-07 20:20:58
539,Auki,SB,-8.7676,160.7034,76.48,85,99,3.22,overcast clouds,2021-08-07 20:21:08
540,Miranda De Ebro,ES,42.6865,-2.947,62.19,81,56,4.65,broken clouds,2021-08-07 20:21:09
541,Uruzgan,AF,32.8333,66.0,73.49,16,0,1.48,clear sky,2021-08-07 20:21:09
542,Rio Gallegos,AR,-51.6226,-69.2181,41.05,56,20,29.93,few clouds,2021-08-07 20:17:42
543,Shasta Lake,US,40.6804,-122.3708,90.32,9,1,6.6,clear sky,2021-08-07 20:21:10
544,Amapa,BR,1.0,-52.0,82.02,67,100,1.25,overcast clouds,2021-08-07 20:21:10
545,Dhemaji,IN,27.4833,94.5833,79.0,92,100,1.3,overcast clouds,2021-08-07 20:21:10
546,Constitucion,CL,-35.3333,-72.4167,55.33,65,100,13.71,overcast clouds,2021-08-07 20:21:11
547,Sucre,BO,-19.0333,-65.2627,69.96,18,4,8.05,clear sky,2021-08-07 20:21:11
548,Enumclaw,US,47.2043,-121.9915,71.82,89,100,1.52,overcast clouds,2021-08-07 20:18:12
549,Turan,VN,16.0678,108.2208,87.85,66,20,1.14,few clouds,2021-08-07 20:21:12
550,Oksfjord,NO,70.2396,22.3479,64.47,67,100,4.36,overcast clouds,2021-08-07 20:21:12
551,Muriwai Beach,NZ,-36.8167,174.45,52.36,96,60,11.63,broken clouds,2021-08-07 20:21:12
552,Tucurui,BR,-3.7661,-49.6725,94.1,31,13,4.54,few clouds,2021-08-07 20:21:13
553,Madimba,TZ,-10.4,40.3333,70.61,85,1,5.99,clear sky,2021-08-07 20:21:13
554,Tateyama,JP,34.9833,139.8667,78.82,94,75,14.97,heavy intensity shower rain,2021-08-07 20:21:14
555,Nchelenge,ZM,-9.3451,28.734,69.78,40,14,4.97,few clouds,2021-08-07 20:21:14
