City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,Cam Ranh,VN,84.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
169,Kanker,IN,75.49,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
170,Hamilton,US,89.74,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
171,Tsabong,BW,60.33,clear sky,-26.0217,22.401,Springbok Motel
172,Zabol,AF,74.55,clear sky,32.25,67.25,
173,Carutapera,BR,79.11,broken clouds,-1.195,-46.02,Lidera
174,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
176,Klaksvik,FO,61.72,overcast clouds,62.2266,-6.589,Airbnb rooms
180,Igrim,RU,65.66,overcast clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
181,Billings,US,89.29,scattered clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
183,Lasa,IT,63.86,light rain,46.6166,10.7002,Pension Feldgärtenhof
184,Jahanabad,IN,78.64,overcast clouds,25.2167,84.9833,TENI BIGHA
185,Pisco,PE,66.25,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
186,Coahuayana,MX,85.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
187,Bridlington,GB,64.89,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
188,Homer,US,69.08,clear sky,59.6425,-151.5483,Beluga Lake Lodge
189,Roald,NO,68.05,clear sky,62.5833,6.1333,Flem Cabins
190,Thompson,CA,77.16,smoke,55.7435,-97.8558,Burntwood Hotel
192,Rubik,AL,71.26,clear sky,41.7744,19.7861,Hotel Marub
193,Enzan,JP,73.92,overcast clouds,35.7,138.7333,Fuefukigawa Onsen Zabou
198,Huamachuco,PE,66.45,clear sky,-7.8,-78.0667,Hotel Mama Wasi
199,Padang,ID,77.45,scattered clouds,-0.9492,100.3543,Mercure Padang
201,Antofagasta,CL,60.08,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
202,Veinticinco De Mayo,AR,75.31,clear sky,-35.4323,-60.1727,Estancia La Rosada
204,Komatipoort,ZA,60.04,clear sky,-25.4332,31.9548,Kruger View Backpackers
206,Erzin,TR,82.0,clear sky,36.9559,36.2,Artemis Otel
207,Guerrero Negro,MX,82.02,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
210,Mongoumba,CF,70.34,overcast clouds,3.6415,18.5936,
211,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
212,Villa Bruzual,VE,84.63,overcast clouds,9.3328,-69.1208,Edificio Guarente
213,Sri Aman,MY,77.05,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
214,Ostersund,SE,61.25,light rain,63.1792,14.6357,Best Western Hotel Gamla Teatern
215,Port Keats,AU,60.85,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
217,Namie,JP,79.72,light rain,37.4833,141.0,いこいの村なみえ
218,Pangody,RU,64.78,clear sky,65.85,74.4859,Elizaveta Shevchuk's House
219,Jambi,ID,74.44,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
220,Broome,US,86.05,broken clouds,42.2506,-75.833,Chenango Valley State Park
221,Gornopravdinsk,RU,63.52,overcast clouds,60.05,69.9,Burovik
222,Marshall,US,87.62,clear sky,34.3834,-86.3333,Riverview Campground
223,Pak Chong,TH,75.52,overcast clouds,14.708,101.4161,PakChong Phubade Hotel
224,Westport,US,89.28,clear sky,41.1415,-73.3579,The Westport Inn
225,Mitchell,US,87.78,clear sky,43.7094,-98.0298,Kelly Inn & Suites
226,Nicosia,CY,84.29,scattered clouds,35.1667,33.3667,The Landmark Nicosia
227,Namibe,AO,69.35,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
229,Harper,LR,77.31,overcast clouds,4.375,-7.7169,Screensaver
230,Bubaque,GW,80.08,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
231,Lata,PT,64.92,scattered clouds,40.1629,-8.3327,Casa Maquia
232,Lewistown,US,84.25,overcast clouds,40.5992,-77.5714,Quality Inn & Suites
235,Mut,TR,75.94,clear sky,36.6439,33.4389,Konak Otel
